radius_cm,jrad_re_N0,jrad_im_N0,jrad_re_N1,jrad_im_N1,jrad_re_N2,jrad_im_N2,jrad_re_N3,jrad_im_N3,jrad_re_N4,jrad_im_N4,jrad_re_N5,jrad_im_N5,jrad_re_N6,jrad_im_N6
  3.8219394565160115E+01,  7.8222264586764991E+07,  8.0157474854697287E+06,  7.9858411062845379E+07,  6.9190466121224388E+06,  8.0002420272879556E+07,  6.8293897182215825E+06,  8.0010668155562237E+07,  6.8239712833279893E+06,  8.0011052035044253E+07,  6.8237108109373674E+06,  8.0011067152639672E+07,  6.8237004243258238E+06,  8.0011067659541011E+07,  6.8237000752688944E+06
  3.8328578762480127E+01,  5.0662081686297372E+07,  2.3384945115056306E+07,  5.2168657217574418E+07,  2.2495610168624289E+07,  5.2276317066379987E+07,  2.2431442697121859E+07,  5.2281884870026298E+07,  2.2427795446364038E+07,  5.2282131536422677E+07,  2.2427624635774426E+07,  5.2282141154396549E+07,  2.2427617810450070E+07,  5.2282141477988154E+07,  2.2427617579589389E+07
  3.8437762959800132E+01,  2.5836661467053134E+07,  3.5510800527558208E+07,  2.7109333557365220E+07,  3.4893040548214972E+07,  2.7172425899009820E+07,  3.4859697978819340E+07,  2.7174839529671684E+07,  3.4858149535153568E+07,  2.7174926604238242E+07,  3.4858084277391784E+07,  2.7174929839555208E+07,  3.4858081644776233E+07,  2.7174929950146191E+07,  3.4858081553300381E+07
  3.8546947157120144E+01,  5.0462571797319762E+06,  4.3623389032548502E+07,  6.0221609254825637E+06,  4.3313845706578538E+07,  6.0366790792048946E+06,  4.3313895596426874E+07,  6.0357437149622031E+06,  4.3314590069369704E+07,  6.0356627061514333E+06,  4.3314637119637743E+07,  6.0356592277813815E+06,  4.3314638949595980E+07,  6.0356591140458472E+06,  4.3314639006695218E+07
  3.8656131354440156E+01, -1.0841726394797847E+07,  4.7317839719914474E+07, -1.0180036532529213E+07,  4.7323029687316768E+07, -1.0213598349345658E+07,  4.7356062148351505E+07, -1.0217781974543266E+07,  4.7358947299338780E+07, -1.0218024900410637E+07,  4.7359103650959820E+07, -1.0218034840950623E+07,  4.7359109826891907E+07, -1.0218035170928642E+07,  4.7359110028916091E+07
  3.8765315551760160E+01, -2.1430808897529230E+07,  4.6577606406960674E+07, -2.1055561174637381E+07,  4.6874018669660389E+07, -2.1132312558967322E+07,  4.6936695806143612E+07, -2.1139357534590140E+07,  4.6941527218852535E+07, -2.1139742051113557E+07,  4.6941780320810862E+07, -2.1139757639541436E+07,  4.6941790348099671E+07, -2.1139758158898041E+07,  4.6941790678823747E+07
  3.8874499749080172E+01, -2.6792604618446499E+07,  4.1764165014907748E+07, -2.6635083841561120E+07,  4.2300979761861689E+07, -2.6746225695412345E+07,  4.2387339279921398E+07, -2.6755493142713144E+07,  4.2393701189426795E+07, -2.6755986488089725E+07,  4.2394029990369909E+07, -2.6756006415834099E+07,  4.2394043037519135E+07, -2.6756007081178691E+07,  4.2394043469494916E+07
  3.8983683946400177E+01, -2.7424748032643825E+07,  3.3574476629088700E+07, -2.7383206567958023E+07,  3.4278645417648368E+07, -2.7516856928931832E+07,  3.4380631665244482E+07, -2.7527512059612222E+07,  3.4387972661314406E+07, -2.7528071840696264E+07,  3.4388349391543061E+07, -2.7528094416231707E+07,  3.4388364360518634E+07, -2.7528095171331696E+07,  3.4388364857398465E+07
  3.9092868143720189E+01, -2.4174559759894654E+07,  2.2970317521924131E+07, -2.4125018590358920E+07,  2.3753541762856681E+07, -2.4267303213305358E+07,  2.3861717830633067E+07, -2.4278388372781884E+07,  2.3869398365244672E+07, -2.4278966207746811E+07,  2.3869790904437762E+07, -2.4278989501253828E+07,  2.3869806524204213E+07, -2.4278990281835541E+07,  2.3869807043837924E+07
  3.9202052341040201E+01, -1.8136280674246624E+07,  1.1085969413259700E+07, -1.7945227597173940E+07,  1.1852951960205972E+07, -1.8081538978527181E+07,  1.1957330863185167E+07, -1.8092057341630030E+07,  1.1964678471301757E+07, -1.8092603027889017E+07,  1.1965053099010214E+07, -1.8092625036819994E+07,  1.1965068034246415E+07, -1.8092625776073832E+07,  1.1965068532285869E+07
  3.9311236538360205E+01, -1.0531822512020502E+07, -8.7741958862616122E+05, -1.0069656556692090E+07, -2.2018233998066187E+05, -1.0185970757330013E+07, -1.2925962807600945E+05, -1.0194973424704671E+07, -1.2289215417916328E+05, -1.0195439273152923E+07, -1.2256786150604486E+05, -1.0195458094470603E+07, -1.2255489584522694E+05, -1.0195458728787629E+07, -1.2255446214297414E+05
  3.9420420735680217E+01, -2.5862054499702370E+06, -1.1761405273349911E+07, -1.7402197075542323E+06, -1.1297066859605066E+07, -1.8243556057194117E+06, -1.1228082751272216E+07, -1.8310245558116445E+06, -1.1223261252550442E+07, -1.8313695177706825E+06, -1.1223015627193179E+07, -1.8313835120354546E+06, -1.1223005755317852E+07, -1.8313839864819860E+06, -1.1223005423416145E+07
  3.9529604933000229E+01,  4.5909207792676426E+06, -2.0554083957808990E+07,  5.9051769110261723E+06, -2.0347878939204309E+07,  5.8624660214161687E+06, -2.0307393604841638E+07,  5.8587463118484095E+06, -2.0304553355519846E+07,  5.8585530810977928E+06, -2.0304408187461186E+07,  5.8585451479298174E+06, -2.0304402275706813E+07,  5.8585448748707771E+06, -2.0304402074559547E+07
  3.9638789130320234E+01,  1.0107056050133917E+07, -2.6479104841848422E+07,  1.1937044290103614E+07, -2.6572430206891045E+07,  1.1941242016534008E+07, -2.6564503673157770E+07,  1.1940830491807085E+07, -2.6563911343425438E+07,  1.1940806940814950E+07, -2.6563879984130226E+07,  1.1940805790116861E+07, -2.6563878565801948E+07,  1.1940805742946468E+07, -2.6563878513346784E+07
  3.9747973327640246E+01,  1.3363022780606113E+07, -2.9062130237715956E+07,  1.5713884465086997E+07, -2.9468793027756546E+07,  1.5766217737532683E+07, -2.9494625165211122E+07,  1.5769184915937066E+07, -2.9496355241385117E+07,  1.5769334509352781E+07, -2.9496441426398903E+07,  1.5769340286350824E+07, -2.9496444654992826E+07,  1.5769340470407922E+07, -2.9496444756583817E+07
  3.9857157524960257E+01,  1.4097107331419792E+07, -2.8169046399131663E+07,  1.6930199905653059E+07, -2.8874002053685442E+07,  1.7027523373726863E+07, -2.8931821744866326E+07,  1.7033644507189997E+07, -2.8935749459027115E+07,  1.7033955880778652E+07, -2.8935946951801721E+07,  1.7033968140392471E+07, -2.8935954586663399E+07,  1.7033968541346259E+07, -2.8935954834578760E+07
  3.9966341722280262E+01,  1.2393772878412992E+07, -2.4012747786114629E+07,  1.5629196672047749E+07, -2.4973434362553976E+07,  1.5764264931917850E+07, -2.5058647565492332E+07,  1.5773038785359908E+07, -2.5064458966277599E+07,  1.5773486675184652E+07, -2.5064752055170737E+07,  1.5773504418465674E+07, -2.5064763480868515E+07,  1.5773505003493078E+07, -2.5064763854937207E+07
  4.0075525919600274E+01,  8.6568509593124390E+06, -1.7128106847747177E+07,  1.2179733945145655E+07, -1.8278252061103925E+07,  1.2341837591568232E+07, -1.8383836065030094E+07,  1.2352529240912989E+07, -1.8391054385695782E+07,  1.2353076608479768E+07, -1.8391419192831263E+07,  1.2353098366581097E+07, -1.8391433470626969E+07,  1.2353099087129463E+07, -1.8391433939921662E+07
  4.0184710116920279E+01,  3.5504045941218399E+06, -8.3175563860159107E+06,  7.2203792438531071E+06, -9.5731171816027984E+06,  7.3962889780146740E+06, -9.6902270267255940E+06,  7.4079929491640739E+06, -9.6982531028104685E+06,  7.4085941213686094E+06, -9.6986595937261134E+06,  7.4086180798930712E+06, -9.6986755407685153E+06,  7.4086188757927977E+06, -9.6986760662206113E+06
